Joueur1_Nom;Joueur1_Prenom;Joueur1_Nationalite;Joueur2_Nom;Joueur2_Prenom;Joueur2_Nationalite;Seed;Round;Score;Resultat;Date_Tournoi;Nom_Tournoi;Lieu_Tournoi;Prize_Money;Points
GUTIERREZ;Agustin;ARG;VALDES;Javier;CHI;;Round of 32;64 36 76(5);Defaite;2025-10-08;MILANO P1;Milano;474500;22
DEUS;Miguel;POR;DEUS;Nuno;POR;;Round of 64;67(5) 76(3) 63;Victoire;2025-10-07;MILANO P1;Milano;474500;22
PERINO;Denis Tomas;ITA;PIOTTO ALBORNOZ;Ignacio;ARG;;Round of 64;67(5) 76(3) 63;Defaite;2025-10-07;MILANO P1;Milano;474500;0
SINTES VILLALONGA;Marc;ESP;SANTIGOSA SASTRE;Daniel;ESP;;Round of 64;46 63 62;Victoire;2025-10-07;MILANO P1;Milano;474500;22
ABBATE;Flavio;ITA;CASTAÑO SALGUERO;Manuel;ESP;;Round of 64;46 63 62;Defaite;2025-10-07;MILANO P1;Milano;474500;0
DOMINGUEZ;Facundo;ITA;MARTINEZ;Javier;ESP;;Round of 64;67(4) 63 76(2);Victoire;2025-10-07;MILANO P1;Milano;474500;22
CASSETTA;Marco;ITA;CHIOSTRI;Federico;ARG;;Round of 64;67(4) 63 76(2);Defaite;2025-10-07;MILANO P1;Milano;474500;0
ABUD;Martin;PAR;MENDEZ;Rafael;ESP;;Round of 64;62 60;Victoire;2025-10-07;MILANO P1;Milano;474500;22
SINICROPI;Riccardo;ITA;SANCHEZ ARRIAGA;Alfonso;ESP;;Round of 64;62 60;Defaite;2025-10-07;MILANO P1;Milano;474500;0
JIMENEZ CASAS;Jose;ESP;SANCHEZ BLASCO;Maximiliano;ARG;;Round of 64;62 45 RET;Victoire;2025-10-07;MILANO P1;Milano;474500;22
PATINIOTIS;Aris;ITA;MOYA SOS;Jesús;ESP;;Round of 64;62 45 RET;Defaite;2025-10-07;MILANO P1;Milano;474500;0
MOURIÑO;Federico;ARG;VALENZUELA;Ramiro Jesus;ARG;;Round of 64;63 62;Victoire;2025-10-07;MILANO P1;Milano;474500;22
CREMONA;Simone;ITA;DI GIOVANNI;Lorenzo;ITA;;Round of 64;63 62;Defaite;2025-10-07;MILANO P1;Milano;474500;0
DEL CASTILLO;Mario;ESP;HUETE HERNANDEZ;Mario;ESP;;Round of 64;63 64;Victoire;2025-10-07;MILANO P1;Milano;474500;22
FUSTER;Christian;ESP;SOLBES;Miguel Angel;ESP;;Round of 64;63 64;Defaite;2025-10-07;MILANO P1;Milano;474500;0
GALA;David;ESP;CHOZAS;Alex;ARG;;Round of 64;64 36 76(5);Victoire;2025-10-07;MILANO P1;Milano;474500;22
GUTIERREZ;Agustin;ARG;VALDES;Javier;CHI;;Round of 64;64 36 76(5);Defaite;2025-10-07;MILANO P1;Milano;474500;0
HERNANDEZ ALVAREZ;Pol;ESP;COLLADO LOSADA;Guillermo;ESP;;Round of 64;75 63;Victoire;2025-10-07;MILANO P1;Milano;474500;22
ZAPATA;Teodoro;ESP;CABEZA TERES;Francisco;ESP;;Round of 64;75 63;Defaite;2025-10-07;MILANO P1;Milano;474500;0
TORRE;Agustín;ARG;ORTEGA;Mario;ESP;;Round of 64;26 76(3) 63;Victoire;2025-10-07;MILANO P1;Milano;474500;22
RUBIO;Gonzalo;ESP;RUIZ GONZALEZ;Javier;ESP;;Round of 64;26 76(3) 63;Defaite;2025-10-07;MILANO P1;Milano;474500;0
DE PASCUAL;Juan Ignacio;ARG;LAMPERTI;Miguel;ARG;;Round of 64;61 64;Victoire;2025-10-07;MILANO P1;Milano;474500;22
GOENAGA;Enrique;ESP;HERNANDEZ QUESADA;Luis;ESP;;Round of 64;61 64;Defaite;2025-10-07;MILANO P1;Milano;474500;0
SANCHEZ CHAMERO;Emilio;ESP;JENSEN SIRVENT;Enzo;ITA;;Round of 64;64 63;Victoire;2025-10-07;MILANO P1;Milano;474500;22
MONTIEL CARUSO;Alvaro;ITA;BELLUATI;Juan Cruz;ARG;;Round of 64;64 63;Defaite;2025-10-07;MILANO P1;Milano;474500;0
RODRIGUEZ MARTINEZ;Alonso;ESP;RUBINI;Juan Ignacio;ARG;;Round of 64;64 63;Victoire;2025-10-07;MILANO P1;Milano;474500;22
GARCÍA;Diego;ESP;GONZALEZ;Jose Luis;ESP;;Round of 64;64 63;Defaite;2025-10-07;MILANO P1;Milano;474500;0
ARCE SIMO;Maximiliano;ARG;LIJO;Pablo;ESP;;Round of 64;63 67(4) 62;Victoire;2025-10-07;MILANO P1;Milano;474500;22
SANS;Anton;ESP;QUILEZ;Marc;ESP;;Round of 64;63 67(4) 62;Defaite;2025-10-07;MILANO P1;Milano;474500;0
SANCHEZ AGUERO;Maximiliano;ARG;GIL MORALES;Francisco Manuel;ESP;;Round of 64;46 63 62;Victoire;2025-10-07;MILANO P1;Milano;474500;22
FERNANDEZ;Antonio;ESP;GARCIA RODRIGO;Pablo;ESP;;Round of 64;46 63 62;Defaite;2025-10-07;MILANO P1;Milano;474500;0
GEENS;Clement;BEL;JEREZ CARNERO;Alejandro;ESP;;Round of 64;46 62 76(5);Victoire;2025-10-07;MILANO P1;Milano;474500;22
FERNANDEZ LANCHA;Andres;ESP;CEPERO;Alvaro;ESP;;Round of 64;46 62 76(5);Defaite;2025-10-07;MILANO P1;Milano;474500;0
