title;handle;vendor;product_type;tags;created_at;price;sku;image;weight;shape;foam;collection;game_level;frame;surface;professional_player;color;racket_type;balance;gender;racket_cover
Raquette de padel Fila The Laevis;raquette-de-padel-fila-the-laewis;Fila;Raquettes;150€ - 200€, Avancé, Carbone, Diamant, Fila, NONOX, NORNOX, Puissante, Tolérance, tout, Tout s Nox;2023-03-08T15:02:06+01:00;79.9;3917;https://cdn.shopify.com/s/files/1/0430/1861/6996/products/raquette-de-padel-fila-the-laevis.jpg?v=1678284369;;forme;mousse;;;carbone;;;;;;;
Housse de raquette Bullpadel Noir/Rouge;housse-de-raquette-bullpadel-noir-rouge;Bullpadel;Sac;NONOX, tout, Tout s Nox;2023-11-09T10:24:30+01:00;6.9;5956;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Housse-De-Raquette-Bullpadel-Noir-Rouge-Face.png?v=1699522174;;;;;;;;pro;rouge;;;;housse
Raquette de padel Varlion Bourne Prisma Radio S 2023;raquette-de-padel-varlion-bourne-prisma-radio-summer-2023;Varlion;Raquettes;NONOX, NORNOX, tout, Tout s Nox;2023-11-03T09:20:39+01:00;189.9;5841;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/varlion-raquette-de-padel-bourne-prisma-radio-s-face.jpg?v=1699000193;;forme;mousse;;expert;carbone;;pro;;;;;housse
Raquette de padel Wilson Accent LT;raquette-de-padel-wilson-accent-lt;Wilson;Raquettes;NONOX, NORNOX, tout, Tout s Nox;2023-10-19T09:05:50+02:00;139.9;5730;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-wilson-accent-lt-face_daceb2a9-6659-480a-8e6d-3b91ae4ad0d6.png?v=1743779303;poids;forme;foam;;;carbone;;;;;;;
Raquette de padel Wilson Accent;raquette-de-padel-wilson-accent-v2;Wilson;Raquettes;NONOX, NORNOX, tout, Tout s Nox;2023-10-11T16:05:49+02:00;119.9;5597;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/wilson-raquette-de-padel-accent-face.jpg?v=1697033874;;forme;foam;;;carbone;;;bleu;;;;
Raquette de padel Bullpadel Hack 03 FIP Edition 2023;raquette-de-padel-bullpadel-hack-03-fip-edition;Bullpadel;Raquettes;NONOX, NORNOX, Paquito Navarro, tout, Tout s Nox;2023-10-05T09:31:29+02:00;209.9;5582;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-bullpadel-hack-03-FIP-2023-face.png?v=1743496772;weight;forme;mousse;;expert;carbone;;pro;white;polyvalente;;;
Housse de raquette Head CCT noir;housse-de-raquette-head-coverbag;Head;Sac;NONOX, tout, Tout s Nox;2023-10-02T10:35:30+02:00;8.9;5527;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/head-housse-raquette-padel-cct-full-size.jpg?v=1696236170;;;;;;;;pro;noir;;;;housse
Raquette de padel Royal Padel M27 Hybrid;raquette-de-padel-royal-padel-m27-hybrid;Royal Padel;Raquettes;Avancé, Carbone, Contrôle, Goutte d'eau, Intermédiaire, NONOX, NORNOX, Ronde, Royal Padel, Tolérance, tout, Tout s Nox;2021-12-08T11:15:47+01:00;249.9;1238;https://cdn.shopify.com/s/files/1/0430/1861/6996/products/raquette-de-padel-royal-padel-m27-hybrid-2020-face.jpg?v=1645622846;;forme;mousse;;;carbone;;pro;;polyvalente;;;
Raquette de padel Royal Padel M27 R-Control X 2023;raquette-de-padel-royal-padel-m27-r-control-x-2023;Royal Padel;Raquettes;NONOX, NORNOX, tout, Tout s Nox;2023-08-23T12:22:41+02:00;209.9;5109;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-royal-padel-m27-R-control-x-face.png?v=1692786164;;forme;mousse;;expert;carbone;;pro;;;;;housse
Raquette de padel Head Extreme Elite 2024;raquette-de-padel-head-extreme-elite-2023;Head;Raquettes;NONOX, NORNOX, tout, Tout s Nox;2023-09-01T15:26:08+02:00;109.9;5211;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-de-padel-head-extreme-elite-2023-face.png?v=1743502269;poids;forme;foam;;;;;;;;;;
Raquette de padel Wilson Carbon Force LT;raquette-de-padel-wilson-carbon-force-lt-2023;Wilson;Raquettes;NONOX, NORNOX, tout, Tout s Nox;2023-06-26T10:10:12+02:00;109.9;4936;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/RAQUETTE-de-padel-wilson-carbon-force-lt-face.png?v=1687780711;;forme;foam;;;carbone;;;noir;;;;
Raquette de padel Drop Shot Premium 3.0;raquette-de-padel-drop-shot-premium-3-0;Drop Shot;Raquettes;+ de 200€, Carbone, Contrôle, Drop Shot, Hard EVA, NONOX, NORNOX, Ronde, tout, Tout s Nox;2023-06-13T10:08:04+02:00;179.9;4814;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-drop-shot-premium-3-face.jpg?v=1686644575;;forme;mousse;;;carbone;;pro;;attaque;;;housse
